time,value
0.000000,1.030595
0.001000,-0.330879
0.002000,0.310734
0.003000,-0.370651
0.004000,-0.623924
0.005000,-0.451535
0.006000,-0.480719
0.007000,-2.060681
0.008000,-0.266733
0.009000,0.921023
0.010000,0.590502
0.011000,1.406800
0.012000,0.727745
0.013000,-0.400001
0.014000,-0.265588
0.015000,-1.381373
0.016000,-0.496048
0.017000,-1.099401
0.018000,-2.479552
0.019000,-5.610849
0.020000,-4.615736
0.021000,-3.371886
0.022000,-1.359772
0.023000,-2.822829
0.024000,-1.249064
0.025000,-1.486410
0.026000,-1.250772
0.027000,-0.994838
0.028000,-0.806272
0.029000,-2.678019
0.030000,-1.426574
0.031000,-0.306739
0.032000,0.711286
0.033000,1.056505
0.034000,0.638083
0.035000,-0.957548
0.036000,-0.317503
0.037000,-0.215462
0.038000,-0.174820
0.039000,0.300799
0.040000,0.195528
0.041000,-0.287596
0.042000,-1.410048
0.043000,-1.133893
0.044000,0.566255
0.045000,-0.649641
0.046000,0.483416
0.047000,1.101259
0.048000,-0.831100
0.049000,-0.056359
0.050000,-0.026955
0.051000,-0.105016
0.052000,1.912201
0.053000,2.471084
0.054000,1.048742
0.055000,1.478730
0.056000,0.266139
0.057000,-0.661836
0.058000,-0.369063
0.059000,0.878467
0.060000,-0.784490
0.061000,-1.131381
0.062000,0.270729
0.063000,-0.724247
0.064000,-0.547996
0.065000,-0.749056
0.066000,0.677292
0.067000,0.860678
0.068000,0.389825
0.069000,-0.524742
0.070000,1.685278
0.071000,1.272464
0.072000,0.791683
0.073000,1.132709
0.074000,1.625034
0.075000,-0.100059
0.076000,-0.270048
0.077000,-1.288380
0.078000,-1.595246
0.079000,-0.002707
0.080000,1.151257
0.081000,1.509816
0.082000,-0.197382
0.083000,0.028797
0.084000,-0.552563
0.085000,0.549863
0.086000,-0.123484
0.087000,-0.926817
0.088000,-0.380783
0.089000,0.908878
0.090000,1.795040
0.091000,2.735300
0.092000,3.496699
0.093000,4.430030
0.094000,3.724649
0.095000,2.535090
0.096000,1.202570
0.097000,2.156747
0.098000,1.552881
0.099000,0.332417
0.100000,0.788552
0.101000,-0.816549
0.102000,-1.733306
0.103000,-1.169322
0.104000,-0.053431
0.105000,-0.373671
0.106000,-0.531443
0.107000,0.361488
0.108000,1.118225
0.109000,-1.180188
0.110000,0.538980
0.111000,0.104082
0.112000,-0.663285
0.113000,-0.999021
0.114000,-2.163856
0.115000,0.816056
0.116000,-0.652349
0.117000,-2.020549
0.118000,-1.878040
0.119000,-2.882293
0.120000,-2.183817
0.121000,-0.105334
0.122000,0.080943
0.123000,0.403586
0.124000,0.031911
0.125000,-1.015466
0.126000,-1.104679
0.127000,0.170870
0.128000,1.494213
0.129000,1.236981
0.130000,1.867083
0.131000,0.718873
0.132000,-0.040104
0.133000,-1.632088
0.134000,-0.196542
0.135000,-0.733217
0.136000,-1.914551
0.137000,-1.030186
0.138000,0.519213
0.139000,0.044202
0.140000,-1.735720
0.141000,-1.712481
0.142000,-1.130916
0.143000,-0.309339
0.144000,0.529283
0.145000,0.499359
0.146000,0.140813
0.147000,0.798315
0.148000,-0.684485
0.149000,-1.516388
0.150000,-1.940280
0.151000,-1.994048
0.152000,-2.978144
0.153000,-1.410362
0.154000,-2.340415
0.155000,-4.560708
0.156000,-2.662016
0.157000,-1.614071
0.158000,-1.351902
0.159000,-0.613172
0.160000,-0.381902
0.161000,0.858094
0.162000,-0.081903
0.163000,1.669590
0.164000,2.283309
0.165000,1.220172
0.166000,0.210181
0.167000,0.314595
0.168000,-0.871984
0.169000,-0.903050
0.170000,0.623508
0.171000,0.681300
0.172000,2.639347
0.173000,1.341549
0.174000,1.525603
0.175000,0.688097
0.176000,0.343429
0.177000,0.775042
0.178000,-0.113631
0.179000,-0.953002
0.180000,-1.228284
0.181000,-1.520639
0.182000,-2.226297
0.183000,-0.336394
0.184000,-0.572942
0.185000,0.371780
0.186000,1.055872
0.187000,1.869603
0.188000,0.159816
0.189000,-0.221635
0.190000,0.509525
0.191000,-0.207734
0.192000,1.321690
0.193000,-0.170832
0.194000,0.683791
0.195000,0.100572
0.196000,1.131104
0.197000,1.174459
0.198000,0.094118
0.199000,0.895208
0.200000,-1.012168
0.201000,-1.157612
0.202000,-1.381870
0.203000,-0.673263
0.204000,-3.226204
0.205000,-2.347734
0.206000,-1.505472
0.207000,-1.998646
0.208000,-1.902795
0.209000,-1.487129
0.210000,-0.243487
0.211000,-2.359714
0.212000,-1.945037
0.213000,-1.076274
0.214000,-0.235491
0.215000,-0.406965
0.216000,0.248164
0.217000,0.124964
0.218000,1.226800
0.219000,0.146289
0.220000,-0.545794
0.221000,0.024918
0.222000,0.666254
0.223000,1.035307
0.224000,0.402561
0.225000,-0.087921
0.226000,-0.082450
0.227000,-1.167721
0.228000,-1.750748
0.229000,0.060821
0.230000,-0.117771
0.231000,-0.618310
0.232000,-1.074031
0.233000,-0.568378
0.234000,1.653274
0.235000,2.472924
0.236000,0.668535
0.237000,1.818022
0.238000,0.620373
0.239000,-0.151560
0.240000,-0.587699
0.241000,-1.644667
0.242000,-0.029916
0.243000,-0.603735
0.244000,-2.581226
0.245000,-2.912259
0.246000,-2.132283
0.247000,-3.426005
0.248000,-2.471030
0.249000,-2.865162
0.250000,-1.175980
0.251000,-0.485551
0.252000,-0.308164
0.253000,-1.795585
0.254000,-2.726132
0.255000,-2.759281
0.256000,-2.436219
0.257000,-0.420212
0.258000,-0.039914
0.259000,-0.415067
0.260000,1.143006
0.261000,0.824204
0.262000,1.093849
0.263000,2.428780
0.264000,2.659598
0.265000,2.570111
0.266000,2.637327
0.267000,2.044589
0.268000,1.677262
0.269000,-0.242705
0.270000,-0.902968
0.271000,-0.770926
0.272000,-0.153256
0.273000,-0.556719
0.274000,1.944000
0.275000,2.341310
0.276000,2.120099
0.277000,0.250996
0.278000,0.143304
0.279000,0.625588
0.280000,0.407089
0.281000,0.192221
0.282000,-0.003584
0.283000,-0.705908
0.284000,-1.814941
0.285000,0.732431
0.286000,-0.416877
0.287000,-0.800973
0.288000,-0.387175
0.289000,-2.365672
0.290000,-0.339122
0.291000,0.898375
0.292000,-0.784712
0.293000,-0.950943
0.294000,0.195519
0.295000,0.133782
0.296000,1.106660
0.297000,2.412612
0.298000,1.100786
0.299000,1.347930
0.300000,-0.125478
0.301000,-0.564952
0.302000,-0.382812
0.303000,-0.159862
0.304000,-0.977400
0.305000,-0.185642
0.306000,-1.616829
0.307000,-2.174631
0.308000,-0.667410
0.309000,-1.332693
0.310000,-0.794529
0.311000,0.999059
0.312000,0.781095
0.313000,1.968684
0.314000,0.220492
0.315000,-0.413520
0.316000,-0.109792
0.317000,-1.119310
0.318000,-1.358372
0.319000,-0.942198
0.320000,-0.586142
0.321000,-0.782177
0.322000,-2.457576
0.323000,-2.612778
0.324000,-3.492170
0.325000,-2.869211
0.326000,-2.336012
0.327000,-1.995546
0.328000,-2.539755
0.329000,-3.705103
0.330000,-1.535251
0.331000,-1.208784
0.332000,-1.279963
0.333000,-1.091240
0.334000,-2.214257
0.335000,-0.483075
0.336000,-1.101321
0.337000,-0.993991
0.338000,-0.309362
0.339000,0.469897
0.340000,0.352260
0.341000,-0.749051
0.342000,-0.000693
0.343000,0.849476
0.344000,1.852318
0.345000,2.024675
0.346000,3.715003
0.347000,3.120833
0.348000,2.696393
0.349000,3.386575
0.350000,4.320233
0.351000,4.844776
0.352000,3.795586
0.353000,3.799852
0.354000,4.102655
0.355000,3.343691
0.356000,1.826595
0.357000,0.458187
0.358000,0.743387
0.359000,1.471279
0.360000,0.718869
0.361000,-0.190175
0.362000,-0.667658
0.363000,-0.384219
0.364000,0.471965
0.365000,0.750404
0.366000,0.606925
0.367000,1.875415
0.368000,4.223517
0.369000,3.390641
0.370000,4.319900
0.371000,2.768682
0.372000,3.358068
0.373000,1.863940
0.374000,1.137095
0.375000,0.869321
0.376000,-1.227216
0.377000,-2.804311
0.378000,-3.094158
0.379000,-1.151511
0.380000,-1.160626
0.381000,-0.013210
0.382000,-1.655492
0.383000,-0.964513
0.384000,-0.331627
0.385000,-1.225190
0.386000,0.881744
0.387000,-0.551296
0.388000,-0.683890
0.389000,1.908063
0.390000,0.574989
0.391000,-0.161294
0.392000,0.026466
0.393000,-1.306395
0.394000,-0.528446
0.395000,-2.203466
0.396000,-1.761808
0.397000,0.037107
0.398000,0.670264
0.399000,0.495213
0.400000,0.074505
0.401000,-0.025252
0.402000,-0.307470
0.403000,0.151946
0.404000,0.766357
0.405000,0.756620
0.406000,1.306216
0.407000,1.558860
0.408000,0.000966
0.409000,-2.334623
0.410000,-1.695294
0.411000,-1.806501
0.412000,-1.242374
0.413000,0.677952
0.414000,0.274252
0.415000,0.530135
0.416000,-0.421330
0.417000,0.154691
0.418000,-0.657542
0.419000,0.474791
0.420000,0.502666
0.421000,0.256399
0.422000,-1.432572
0.423000,-2.519043
0.424000,-1.435217
0.425000,0.014916
0.426000,0.253425
