time,value
0.000000,0.496714
0.001000,-0.138264
0.002000,0.647689
0.003000,1.523030
0.004000,-0.234153
0.005000,-0.234137
0.006000,1.579213
0.007000,0.767435
0.008000,-0.469474
0.009000,0.542560
0.010000,-0.463418
0.011000,-0.465730
0.012000,0.241962
0.013000,-1.913280
0.014000,-1.724918
0.015000,-0.562288
0.016000,-1.012831
0.017000,0.314247
0.018000,-0.908024
0.019000,-1.412304
0.020000,1.465649
0.021000,-0.225776
0.022000,0.067528
0.023000,-1.424748
0.024000,-0.544383
0.025000,0.110923
0.026000,-1.150994
0.027000,0.375698
0.028000,-0.600639
0.029000,-0.291694
0.030000,-0.601707
0.031000,1.852278
0.032000,-0.013497
0.033000,-1.057711
0.034000,0.822545
0.035000,-1.220844
0.036000,0.208864
0.037000,-1.959670
0.038000,-1.328186
0.039000,0.196861
0.040000,0.738467
0.041000,0.171368
0.042000,-0.115648
0.043000,-0.301104
0.044000,-1.478522
0.045000,-0.719844
0.046000,-0.460639
0.047000,1.057122
0.048000,0.343618
0.049000,-1.763040
0.050000,0.324084
0.051000,-0.385082
0.052000,-0.676922
0.053000,0.611676
0.054000,1.031000
0.055000,0.931280
0.056000,-0.839218
0.057000,-0.309212
0.058000,0.331263
0.059000,0.975545
0.060000,-0.479174
0.061000,-0.185659
0.062000,-1.106335
0.063000,-1.196207
0.064000,0.812526
0.065000,1.356240
0.066000,-0.072010
0.067000,1.003533
0.068000,0.361636
0.069000,-0.645120
0.070000,0.361396
0.071000,1.538037
0.072000,-0.035826
0.073000,1.564644
0.074000,-2.619745
0.075000,0.821903
0.076000,0.087047
0.077000,-0.299007
0.078000,0.091761
0.079000,-1.987569
0.080000,-0.219672
0.081000,0.357113
0.082000,1.477894
0.083000,-0.518270
0.084000,-0.808494
0.085000,-0.501757
0.086000,0.915402
0.087000,0.328751
0.088000,-0.529760
0.089000,0.513267
0.090000,0.097078
0.091000,0.968645
0.092000,-0.702053
0.093000,-0.327662
0.094000,-0.392108
0.095000,-1.463515
0.096000,0.296120
0.097000,0.261055
0.098000,0.005113
0.099000,-0.234587
0.100000,-1.415371
0.101000,-0.420645
0.102000,-0.342715
0.103000,-0.802277
0.104000,-0.161286
0.105000,0.404051
0.106000,1.886186
0.107000,0.174578
0.108000,0.257550
0.109000,-0.074446
0.110000,-1.918771
0.111000,-0.026514
0.112000,0.060230
0.113000,2.463242
0.114000,-0.192361
0.115000,0.301547
0.116000,-0.034712
0.117000,-1.168678
0.118000,1.142823
0.119000,0.751933
0.120000,0.791032
0.121000,-0.909387
0.122000,1.402794
0.123000,-1.401851
0.124000,0.586857
0.125000,2.190456
0.126000,-0.990536
0.127000,-0.566298
0.128000,0.099651
0.129000,-0.503476
0.130000,-1.550663
0.131000,0.068563
0.132000,-1.062304
0.133000,0.473592
0.134000,-0.919424
0.135000,1.549934
0.136000,-0.783253
0.137000,-0.322062
0.138000,0.813517
0.139000,-1.230864
0.140000,0.227460
0.141000,1.307143
0.142000,-1.607483
0.143000,0.184634
0.144000,0.259883
0.145000,0.781823
0.146000,-1.236951
0.147000,-1.320457
0.148000,0.521942
0.149000,0.296985
