# freq_Hz,PSD_Pa2_Hz
7.142857142853488439e-02,3.250232004514222741e+08
1.428571428570697688e-01,2.858599504380301833e+08
2.142857142856046671e-01,1.304560387625209540e+08
2.857142857141395376e-01,7.924484305571955442e+07
3.571428571426744081e-01,1.152417427291437626e+09
4.285714285712093341e-01,4.338200919016541541e+07
4.999999999997442046e-01,2.446597166459763646e+08
5.714285714282790751e-01,7.367510345327485800e+08
6.428571428568139456e-01,4.189202592359106243e+07
7.142857142853488162e-01,2.565923813137991726e+08
7.857142857138836867e-01,4.897212967105650902e+07
8.571428571424186682e-01,2.363035800576855242e+07
9.285714285709535387e-01,5.983106875897734612e+07
9.999999999994884092e-01,1.811674482872409225e+08
1.071428571428023169e+00,3.419622396582148969e+07
1.142857142856558150e+00,8.322744294164852798e+07
1.214285714285093132e+00,3.526425355848922133e+08
1.285714285713627891e+00,4.613400706005703658e+07
1.357142857142162873e+00,8.615734666831615567e+07
1.428571428570697632e+00,2.690580983117536902e+08
1.499999999999232614e+00,1.133139098888398707e+08
1.571428571427767373e+00,4.997058791780067235e+07
1.642857142856302355e+00,4.763125901973338425e+07
1.714285714284837336e+00,6.771188153268769383e+07
1.785714285713372096e+00,6.322503183414113522e+07
1.857142857141907077e+00,5.943865320794103295e+07
1.928571428570441837e+00,6.768714678965775669e+07
1.999999999998976818e+00,1.359870675920443535e+08
2.071428571427511578e+00,6.030238856945248693e+07
2.142857142856046337e+00,7.078941955855698884e+07
2.214285714284581541e+00,8.370605932284747064e+07
2.285714285713116301e+00,6.249376239904719591e+07
2.357142857141651060e+00,2.159817731416905299e+07
2.428571428570186264e+00,9.039369704287584126e+07
2.499999999998721023e+00,2.934943099851422310e+08
2.571428571427255783e+00,8.047744112471166253e+07
2.642857142855790542e+00,1.052166061478106678e+08
2.714285714284325746e+00,1.376150787108913958e+08
2.785714285712860505e+00,4.591913817881744355e+07
2.857142857141395265e+00,2.234927113115799427e+07
2.928571428569930468e+00,6.451481472643683106e+07
2.999999999998465228e+00,7.931988912763948739e+07
3.071428571426999987e+00,3.238571126526966691e+07
3.142857142855534747e+00,1.750595585614504665e+07
3.214285714284069950e+00,1.772579413204877451e+07
3.285714285712604710e+00,4.837417801575941592e+07
3.357142857141139469e+00,6.597493762168882042e+07
3.428571428569674673e+00,2.132952050945660770e+08
3.499999999998209432e+00,9.114340430195686221e+07
3.571428571426744192e+00,1.179901343108072877e+08
3.642857142855278951e+00,3.439921458935728669e+07
3.714285714283814155e+00,1.381849288230309784e+08
3.785714285712348914e+00,1.449543599952700436e+08
3.857142857140883674e+00,5.284927164005212486e+07
3.928571428569418433e+00,3.108507373217067495e+07
3.999999999997953637e+00,4.208175887864971161e+07
4.071428571426488396e+00,5.365967801069217920e+07
4.142857142855023156e+00,2.823082965362394601e+07
4.214285714283557915e+00,3.642667313008198887e+07
4.285714285712092675e+00,3.970337309668651223e+07
4.357142857140628323e+00,1.518178476454304159e+08
4.428571428569163082e+00,1.053928635203929245e+08
4.499999999997697842e+00,2.526381058705724776e+07
4.571428571426232601e+00,4.755248856407284737e+07
4.642857142854767361e+00,4.976092190992528945e+07
4.714285714283302120e+00,2.882413179574924335e+07
4.785714285711836879e+00,5.155278526499787718e+07
4.857142857140372527e+00,2.488491027244587615e+07
4.928571428568907287e+00,6.700392591964608058e+06
4.999999999997442046e+00,9.669277669082175195e+07
5.071428571425976806e+00,2.147615882528413087e+07
5.142857142854511565e+00,1.394505367925927974e+07
5.214285714283046325e+00,2.016850825319961011e+08
5.285714285711581084e+00,2.340712912404545397e+07
5.357142857140116732e+00,3.502491616655556858e+07
5.428571428568651491e+00,2.716561002848020941e+07
5.499999999997186251e+00,5.453687322041408718e+07
5.571428571425721010e+00,3.581583283110538870e+07
5.642857142854255770e+00,3.951949193553059548e+07
5.714285714282790529e+00,6.133072581513779610e+07
5.785714285711325289e+00,4.620868521466007084e+07
5.857142857139860936e+00,6.800969744626231492e+07
5.928571428568395696e+00,1.772784319614165649e+07
5.999999999996930455e+00,4.932650194602335803e+06
6.071428571425465215e+00,1.370873571313322522e+07
6.142857142853999974e+00,1.881011374092604220e+07
6.214285714282534734e+00,2.060556982508505881e+07
6.285714285711069493e+00,1.002489077365600504e+07
6.357142857139605141e+00,1.083518565843557008e+07
6.428571428568139901e+00,4.001120648787355423e+07
6.499999999996674660e+00,2.724639168289008085e+06
6.571428571425209419e+00,7.461121546765780449e+07
6.642857142853744179e+00,1.736254626277454197e+07
6.714285714282278938e+00,3.446159193704225868e+07
6.785714285710813698e+00,9.664882194853043184e+06
6.857142857139349346e+00,3.010858871507557854e+07
6.928571428567884105e+00,7.186776711905999109e+06
6.999999999996418865e+00,7.264174309851178899e+06
7.071428571424953624e+00,1.949739141584975272e+07
7.142857142853488384e+00,3.473372885968586057e+07
7.214285714282023143e+00,4.830784982041541487e+06
7.285714285710557903e+00,1.198326668795423396e+07
7.357142857139092662e+00,9.547293833178952336e+06
7.428571428567628310e+00,2.376145556589587126e+06
7.499999999996163069e+00,1.882953892357662693e+07
7.571428571424697829e+00,5.080567898440176994e+07
7.642857142853232588e+00,1.874438385934407264e+07
7.714285714281767348e+00,1.101834894722065888e+07
7.785714285710302107e+00,1.480496642817415111e+07
7.857142857138836867e+00,2.852947638482977450e+07
7.928571428567372514e+00,1.988691086509460211e+07
7.999999999995907274e+00,2.480343760527372733e+07
8.071428571424441145e+00,6.568256735693471879e+07
8.142857142852976793e+00,2.954420861430979893e+07
8.214285714281512440e+00,1.528921519491720572e+07
8.285714285710046312e+00,1.542543477513113059e+07
8.357142857138581959e+00,2.627711027680763975e+07
8.428571428567115831e+00,6.472621463423761539e+06
8.499999999995651478e+00,6.207224661395328119e+06
8.571428571424185350e+00,4.123279164296743274e+07
8.642857142852720997e+00,8.314637030946289189e+06
8.714285714281256645e+00,6.295816448046364821e+06
8.785714285709790516e+00,1.135828612074449286e+07
8.857142857138326164e+00,2.531974249854212627e+06
8.928571428566860035e+00,3.560290044803937431e+06
8.999999999995395683e+00,1.293418209904291481e+07
9.071428571423929554e+00,2.553526490795365069e+06
9.142857142852465202e+00,6.044781163250216283e+06
9.214285714281000850e+00,5.375170820165580139e+06
9.285714285709534721e+00,7.242753095111981034e+06
9.357142857138070369e+00,6.902939753103355877e+06
9.428571428566604240e+00,1.442015021713060141e+07
9.499999999995139888e+00,2.346791328799820971e+06
9.571428571423673759e+00,6.410142085169301368e+06
9.642857142852209407e+00,4.121089015444669873e+06
9.714285714280745054e+00,2.010771946576693654e+07
9.785714285709278926e+00,7.430355832686381415e+06
9.857142857137814573e+00,9.217170271924069151e+06
9.928571428566348445e+00,5.395033105098458007e+06
9.999999999994884092e+00,6.471440037736134604e+06
1.007142857142341796e+01,9.996340951949633658e+06
1.014285714285195361e+01,3.330750252840106376e+06
1.021428571428048926e+01,4.627088737186459824e+06
1.028571428570902313e+01,1.570365034384706989e+06
1.035714285713755878e+01,2.343936746590207331e+06
1.042857142856609265e+01,5.159426288764757104e+06
1.049999999999462830e+01,2.927586415695722681e+06
1.057142857142316217e+01,1.694443302036810666e+07
1.064285714285169782e+01,4.704612789394221269e+06
1.071428571428023346e+01,3.120286109755483456e+06
1.078571428570876733e+01,2.493455544028687291e+06
1.085714285713730298e+01,5.606606969878423959e+06
1.092857142856583685e+01,1.002732145760315284e+07
1.099999999999437250e+01,6.018015875873063691e+06
1.107142857142290637e+01,3.867693909109178465e+06
1.114285714285144202e+01,1.955423498289699201e+06
1.121428571427997767e+01,1.367271379326297436e+06
1.128571428570851154e+01,1.653642712327144109e+06
1.135714285713704719e+01,2.438886173903186806e+06
1.142857142856558106e+01,1.615430717389382888e+06
1.149999999999411671e+01,6.770981379430482164e+06
1.157142857142265058e+01,8.562262210379157914e+05
1.164285714285118623e+01,1.667881864843191579e+06
1.171428571427972187e+01,3.964890605388844851e+06
1.178571428570825574e+01,2.764952609454839025e+06
1.185714285713679139e+01,2.231235271316858940e+06
1.192857142856532526e+01,2.808551587850813288e+06
1.199999999999386091e+01,2.464006621354276780e+06
1.207142857142239478e+01,2.352992078193472233e+06
1.214285714285093043e+01,4.194696205546323210e+06
1.221428571427946608e+01,2.234304068534353282e+06
1.228571428570799995e+01,1.545641065899215406e+06
1.235714285713653560e+01,1.769751062909920467e+06
1.242857142856506947e+01,4.115329596451695543e+06
1.249999999999360512e+01,6.701737556048992090e+06
